"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "XML", "Vue", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\package-lock.json", "JSON", 0, 0, 5147, 0, 0, 0, 0, 0, 0, 1, 5148
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\App.vue", "Vue", 0, 0, 0, 0, 0, 22, 0, 0, 2, 19, 43
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\assets\LOGO.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\assets\style.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\chart.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 7, 39
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\chart1.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\chart2.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 6, 38
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\dashboardSidebar.vue", "Vue", 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Bank.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Calender.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Filter.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Klok.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\LOO.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Login.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Logo.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Logout.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Payment.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Setting.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Shop.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\icons\Users.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\introKaart.vue", "Vue", 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\overzicht.vue", "Vue", 0, 0, 0, 0, 0, 85, 0, 0, 1, 11, 97
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\statusCards.vue", "Vue", 0, 0, 0, 0, 0, 47, 0, 0, 0, 6, 53
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\components\userlist.vue", "Vue", 0, 0, 0, 0, 0, 145, 0, 0, 0, 16, 161
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\main.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\routes\index.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 3, 36
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\vieuws\Bankvieuw.vue", "Vue", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\vieuws\Homevieuw.vue", "Vue", 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\vieuws\Settingsvieuw.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\src\vieuws\Usersvieuw.vue", "Vue", 0, 0, 0, 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\tailwind.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Meneer Kipje\Documents\PaymentHubDashboard\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 65, 13, 5175, 4, 2, 564, 8, 64, 8, 144, 6047